"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 08 15:56:12 IST 2024","Mon Jul 08 15:56:12 IST 2024","1","TestAllureMethods","TestAllureMethods","com.xtime.automation.asr4.inspect.test.TestAllureMethods","com.xtime.automation.asr4.inspect.test.TestAllureMethods","passMethod","passMethod",""
"failed","Mon Jul 08 15:56:02 IST 2024","Mon Jul 08 15:56:12 IST 2024","9377","TestAllureMethods","TestAllureMethods","com.xtime.automation.asr4.inspect.test.TestAllureMethods","com.xtime.automation.asr4.inspect.test.TestAllureMethods","failMethod","failMethod",""
